RK,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,PPS,AFG%
1,114.4,39.4,85.6,0.46,15.7,43.2,0.364,19.9,25.2,0.792,1.34,0.552
2,105.7,37.8,86.7,0.436,11.9,34,0.348,18.2,23.9,0.761,1.22,0.504
3,109.7,39.6,83.9,0.472,12,32.8,0.365,18.6,23.2,0.801,1.31,0.543
4,102.5,38.1,84.5,0.451,11.6,31.9,0.365,14.7,19,0.774,1.21,0.52
5,111.3,40.9,87.4,0.468,11.2,31.8,0.351,18.4,22.9,0.804,1.27,0.532
6,102.6,37.7,84.2,0.448,11.4,31.4,0.365,15.7,20.6,0.764,1.22,0.516
7,100.9,37.7,82.6,0.457,11.3,30.9,0.364,14.2,18.7,0.761,1.22,0.525
8,103.7,39.2,88.6,0.443,11,30.5,0.361,14.3,18.6,0.768,1.17,0.505
9,106,39.4,85.9,0.458,10.7,30.2,0.356,16.5,22,0.748,1.23,0.521
10,101.6,37.3,82.5,0.452,10.9,29.9,0.364,16.1,20.2,0.799,1.23,0.518
11,115.8,43.5,85.5,0.509,11.6,29.8,0.391,17.1,21,0.815,1.35,0.577
12,111.2,41.5,85.4,0.486,10.8,29.5,0.367,17.4,22.7,0.765,1.3,0.549
13,103.6,38.5,85.2,0.451,10.8,29.4,0.369,15.8,20,0.789,1.22,0.515
14,108.2,39.9,86.1,0.464,10.5,29.1,0.359,17.9,23.4,0.763,1.26,0.524
15,107.8,39.2,84.6,0.463,10.4,29.1,0.358,19,25.3,0.752,1.27,0.525
16,105.2,39.6,86.7,0.457,10.2,29.1,0.351,15.8,20.9,0.755,1.21,0.516
17,105.3,39.7,87.2,0.455,10.3,29,0.356,15.6,22.2,0.704,1.21,0.514
18,102.3,38.7,86,0.45,10.8,28.3,0.381,14.1,18.8,0.754,1.19,0.513
19,106.6,40.8,89.3,0.457,9.2,27.9,0.331,15.7,22.9,0.688,1.19,0.508
20,105.4,38.5,86.6,0.445,9.4,27.4,0.342,19.1,25.1,0.762,1.22,0.499
21,99.7,36,81.2,0.444,9.5,27.1,0.353,18,22.7,0.793,1.23,0.503
22,106.5,39.6,85.6,0.463,9.7,26.2,0.37,17.6,23.4,0.753,1.24,0.519
23,104.1,39,86.2,0.452,9.8,26.1,0.376,16.4,20.5,0.797,1.21,0.509
24,105.8,38.3,86.6,0.442,9.3,26,0.358,19.9,27.3,0.728,1.22,0.496
25,106.2,41.1,86,0.478,9.3,24.7,0.374,14.8,19.1,0.772,1.23,0.531
26,104.8,38.9,81.2,0.479,8.5,24.4,0.348,18.5,24,0.77,1.29,0.532
27,100.6,38,83.7,0.454,8.9,24.4,0.366,15.7,20.2,0.777,1.2,0.507
28,97.9,38.2,84.8,0.45,8.7,22.7,0.382,12.9,17.9,0.721,1.15,0.501
29,108.9,40.6,85.3,0.476,7.9,22.5,0.353,19.7,24.9,0.793,1.28,0.523
30,104.6,40.3,86,0.469,8,21.6,0.369,15.9,20,0.795,1.22,0.516
